2,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) as total FROM Scores ORDER BY gender, day"
3,"SELECT s1.gender, s1.day, SUM(s2.score_points) AS total FROM Scores AS s1 JOIN Scores AS s2 ON s1.gender = s2.gender WHERE s2.day <= s1.day GROUP BY s1.gender, s1.day ORDER BY s1.gender, s1.day"
4,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores ORDER BY gender, day"
5,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores ORDER BY gender, day"
6,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) as total FROM Scores"
7,"SELECT gender, day, sum(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores ORDER BY gender, day"
8,"SELECT gender, day, sum(score_points) OVER (PARTITION BY gender ORDER BY day ROWS UNBOUNDED PRECEDING) as total FROM Scores"
11,"SELECT a.gender, a.day, SUM(b.score_points) AS total 
FROM (
  SELECT gender, day FROM Scores GROUP BY gender, day
) AS a 
JOIN Scores AS b 
ON (a.gender = b.gender AND a.day >= b.day) 
GROUP BY a.gender, a.day 
ORDER BY a.gender ASC, a.day ASC"
13,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS total FROM scores ORDER BY gender, day"
14,"SELECT c.gender, c.day, SUM(p.score_points) AS total FROM scores AS c LEFT JOIN scores AS p ON c.gender = p.gender AND c.day >= p.day GROUP BY c.gender, c.day ORDER BY c.gender, c.day"
22,"SELECT gender, day, sum(score_points) OVER (PARTITION BY gender ORDER BY day ASC ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS total FROM scores ORDER BY gender, day"
23,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores ORDER BY gender, day"
24,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores"
25,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS total FROM Scores"
27,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores"
30,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores GROUP BY gender, day ORDER BY gender, day"
32,"SELECT gender, day, sum(score_points) OVER (PARTITION BY gender ORDER BY day) as total FROM scores ORDER BY gender, day"
33,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM Scores ORDER BY gender, day"
35,"SELECT gender, day, sum(score_points) OVER (PARTITION BY gender ORDER BY day) as total FROM Scores"
44,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day ASC) AS total FROM Scores"
47,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS total FROM Scores ORDER BY gender, day"
52,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) AS total FROM scores ORDER BY gender, day"
53,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS total FROM Scores"
54,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) as total FROM Scores"
55,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) as total FROM Scores GROUP BY gender, day ORDER BY gender, day"
71,"SELECT gender, day, SUM(score_points) OVER (PARTITION BY gender ORDER BY day) as total FROM scores ORDER BY gender, day"
